oid	datp	dttp	dctp	dgtp	h	h2o	ppi	dna_1g
rgm	-0.513	-0.513	-1.076	-1.076	-3.178	-1.0	3.178	1.0
sai	-0.753	-0.753	-0.836	-0.836	-3.178	-1.0	3.178	1.0
spo	-1.017	-1.017	-0.572	-0.572	-3.179	-1.0	3.179	1.0
ncr	-0.823	-0.823	-0.766	-0.766	-3.179	-1.0	3.179	1.0
tre	-0.75	-0.75	-0.839	-0.839	-3.178	-1.0	3.178	1.0
ang	-0.788	-0.788	-0.801	-0.801	-3.178	-1.0	3.178	1.0
lst	-0.844	-0.844	-0.745	-0.745	-3.179	-1.0	3.179	1.0
yli	-0.811	-0.811	-0.779	-0.779	-3.179	-1.0	3.179	1.0
arx	-0.825	-0.825	-0.764	-0.764	-3.179	-1.0	3.179	1.0
nfu	-0.965	-0.965	-0.625	-0.625	-3.179	-1.0	3.179	1.0
aru	-1.068	-1.068	-0.521	-0.521	-3.179	-1.0	3.179	1.0
pta	-1.114	-1.114	-0.475	-0.475	-3.179	-1.0	3.179	1.0
ppa	-0.935	-0.935	-0.655	-0.655	-3.179	-1.0	3.179	1.0
kcp	-0.865	-0.865	-0.725	-0.725	-3.179	-1.0	3.179	1.0
car	-1.036	-1.036	-0.553	-0.553	-3.179	-1.0	3.179	1.0
opm	-0.83	-0.83	-0.76	-0.76	-3.179	-1.0	3.179	1.0
dbx	-0.976	-0.976	-0.614	-0.614	-3.179	-1.0	3.179	1.0
pme	-0.871	-0.871	-0.718	-0.718	-3.179	-1.0	3.179	1.0
pku	-0.979	-0.979	-0.61	-0.61	-3.179	-1.0	3.179	1.0
bin	-0.825	-0.825	-0.764	-0.764	-3.179	-1.0	3.179	1.0
mbi	-0.83	-0.83	-0.76	-0.76	-3.179	-1.0	3.179	1.0
mgu	-0.895	-0.895	-0.695	-0.695	-3.179	-1.0	3.179	1.0
dha	-1.011	-1.011	-0.579	-0.579	-3.179	-1.0	3.179	1.0
pic	-0.936	-0.936	-0.653	-0.653	-3.179	-1.0	3.179	1.0
spa	-0.995	-0.995	-0.594	-0.594	-3.179	-1.0	3.179	1.0
wan	-1.041	-1.041	-0.548	-0.548	-3.179	-1.0	3.179	1.0
cut	-0.882	-0.882	-0.707	-0.707	-3.179	-1.0	3.179	1.0
hva	-1.164	-1.164	-0.426	-0.426	-3.18	-1.0	3.18	1.0
kla	-0.973	-0.973	-0.617	-0.617	-3.179	-1.0	3.179	1.0
lth	-0.838	-0.838	-0.752	-0.752	-3.179	-1.0	3.179	1.0
zro	-0.966	-0.966	-0.623	-0.623	-3.179	-1.0	3.179	1.0
sce	-0.981	-0.981	-0.609	-0.609	-3.179	-1.0	3.179	1.0
vpo	-1.063	-1.063	-0.526	-0.526	-3.179	-1.0	3.179	1.0
