acoa	fa	chebi	mass	sat	monounsat	polyunsat	acoa mass	charge
btcoa	but	57371	87.09718000000001	0.0	0.0	0.0	833.592	-4
hxcoa	hxa	62620	115.15033999999999	0.0	0.0	0.0	861.645	-4
occoa	octa	57386	143.107	0.0	0.0	0.0	889.699	-4
dcacoa	dca	61430	171.2567	0.0	0.0	0.0	917.752	-4
ddcacoa	ddca	57375	199.30982	0.0	0.0	0.0	945.805	-4
tdcoa	ttdca	57385	227.201	0.07	0.01	0.0	973.858	-4
pmtcoa	hdca	57379	255.4161	0.79	0.15	0.14	1001.911	-4
stcoa	ocdca	57394	283.4693	0.14	0.02	0.0	1029.964	-4
arachcoa	arach	57380	311.5225	0.0	0.0	0.0	1058.017	-4
behencoa	behen	65059	339.5756	0.0	0.0	0.0	1086.071	-4
ttccoa	ttc	65052	367.6288	0.0	0.0	0.0	1114.124	-4
hexccoa	hexc	64868	395.6819	0.0	0.0	0.0	1142.177	-4
ptcoa	pta	57389	101.12376	0.0	0.0	0.0	847.619	-4
heptanoylcoa	hpa	78811	129.17692	0.0	0.0	0.0	875.674	-4
nonanoylcoa	nona	76291	157.2306	0.0	0.0	0.0	903.725	-4
undecanoylcoa	udca	77547	185.28323999999998	0.0	0.0	0.0	931.78	-4
tridecanoylcoa	trdca	0	213.3364	0.0	0.0	0.0		
ptdcacoa	ptdca	74309	241.3901	0.0	0.0	0.0	987.885	-4
hpdcacoa	hpdca	74307	269.44272	0.0	0.0	0.0	1015.938	-4
hdcoa	hdcea	61540	253.40026	0.0	0.55	0.22	999.895	-4
w4c162coa	w4c162	76552	251.38442	0.0	0.0	0.0	997.879	-4
c163coa	c163	0	249.36857999999998	0.0	0.0	0.0		
odecoa	ocdcea	57387	281.45342	0.0	0.27	0.34	1027.948	-4
lnlccoa	lnlc	57383	279.43754	0.0	0.0	0.23	1025.933	-4
lnlncgcoa	lnlncg	74034	277.42166000000003	0.0	0.0	0.07	1023.917	-4
