rxnid	mass balance	charge balance	composite
BIOMASS	N/A	N/A	True
BIOMASS_TREHALOSE_1G	N/A	0.0	True
BIOMASS_GLYCOGEN_1G	N/A	0.0	True
BIOMASS_GLUCAN_1G	N/A	0.0	True
BIOMASS_MANNAN_1G	N/A	0.0	True
BIOMASS_CHITIN_1G	N/A	0.0	True
BIOMASS_PROTEIN_iMM904_1G	N/A	-1.11022302463e-16	True
BIOMASS_PROTEIN_iMM904_TRNA_1G	N/A	0.000200000000007	True
BIOMASS_PROTEIN_M_iMM904_1G	N/A	-1.11022302463e-16	True
BIOMASS_PROTEIN_M_iMM904_TRNA_1G	N/A	0.000200000000007	True
BIOMASS_RNA	N/A	0.0	True
BIOMASS_RNA_DEGRADATION	N/A	0.0	True
BIOMASS_RNAm	N/A	0.0	True
BIOMASS_DNA	N/A	0.0	True
BIOMASS_DNA_DEGRADATION	N/A	8.881784197e-16	True
BIOMASS_DNAm	N/A	0.0	True
ACOAC_MONOUNSAT	N/A	0.0	True
ACOAC_POLYUNSAT	N/A	0.0	True
ACOAC_SAT	N/A	0.0	True
ACOA_PMTCOA	N/A	0.0	True
ACOAD_MONOUNSAT	N/A	0.0	True
ACOAD_POLYUNSAT	N/A	0.0	True
ACOAD_SAT	N/A	0.0	True
ACOAH_MONOUNSAT	N/A	0.0	True
ACOAH_POLYUNSAT	N/A	0.0	True
ACOAH_SAT	N/A	-1.7763568394e-15	True
FAC_MONOUNSAT	N/A	0.0	True
FAC_POLYUNSAT	N/A	0.0	True
FAC_SAT	N/A	0.0	True
PA_SC_MONOUNSAT_1G	N/A	0.0	True
PA_SC_POLYUNSAT_1G	N/A	0.0	True
PA_SC_SAT_1G	N/A	0.0	True
PA_SC_C16_1G	N/A	0.0	True
PC_MONOUNSAT_1G	N/A	0.0	True
PC_POLYUNSAT_1G	N/A	0.0	True
PC_SAT_1G	N/A	0.0	True
PE_MONOUNSAT_1G	N/A	0.0	True
PE_POLYUNSAT_1G	N/A	0.0	True
PE_SAT_1G	N/A	0.0	True
PG_MONOUNSAT_1G	N/A	0.0	True
PG_POLYUNSAT_1G	N/A	0.0	True
PG_SAT_1G	N/A	0.0	True
PS_MONOUNSAT_1G	N/A	0.0	True
PS_POLYUNSAT_1G	N/A	0.0	True
PS_SAT_1G	N/A	0.0	True
PTD1INO_MONOUNSAT_1G	N/A	0.0	True
PTD1INO_POLYUNSAT_1G	N/A	0.0	True
PTD1INO_SAT_1G	N/A	0.0	True
CLPN_MONOUNSAT_1G	N/A	0.0	True
CLPN_POLYUNSAT_1G	N/A	0.0	True
CLPN_SAT_1G	N/A	0.0	True
BIOMASS_PLIPIDS_MONOUNSAT_1G	N/A	0.0	True
BIOMASS_PLIPIDS_POLYUNSAT_1G	N/A	0.0	True
BIOMASS_PLIPIDS_SAT_1G	N/A	0.0	True
BIOMASS_STEROL_ERGST_1G	N/A	0.0	True
BIOMASS_STEROL_ZYMST_1G	N/A	0.0	True
BIOMASS_STEROL_1G	N/A	0.0	True
HEX1	0.0	0.0	False
PGI	0.0	0.0	False
PFK	-0.0	0.0	False
FBA	0.0	0.0	False
FBA2	-0.0	0.0	False
TPI	0.0	0.0	False
GAPD	0.0	0.0	False
GAPDi_nadp	0.0	0.0	False
GAPDNPx	0.0	0.0	False
GAPDNPy	0.0	0.0	False
PGK	0.0	0.0	False
PGM	0.0	0.0	False
ENO	-0.0	0.0	False
PYK	0.0	0.0	False
GALM1	0.0	0.0	False
DPGM	0.0	0.0	False
FBP	0.0	0.0	False
PPCK	0.0	0.0	False
