amino acid	MW	charge	mmol/gDCW
ala__L	89.0932	0.0	-1.125244001109059
arg__L	175.20906000000002	1.0	-0.3941297100658801
asn__L	132.1179	0.0	-0.24942745185874302
asp__L	132.09478000000001	-1.0	-0.7296427426546317
cys__L	121.15921999999999	0.0	-0.01618703227401872
gln__L	146.1445	0.0	-0.2585020002547838
glu__L	146.12136	-1.0	-0.7401888394392198
gly	75.0666	0.0	-0.7122294200568237
his__L	155.1546	0.0	-0.1626060969344608
ile__L	131.1729	0.0	-0.4726122907883951
leu__L	131.1729	0.0	-0.7269449039422953
lys__L	147.19558	1.0	-0.7019285813369937
met__L	149.211	0.0	-0.12434583883223473
phe__L	165.1891	0.0	-0.32840054871077373
pro__L	115.1305	0.0	-0.4039400326561945
ser__L	105.09262	0.0	-0.45470845206107136
thr__L	119.1192	0.0	-0.46942393594654286
trp__L	204.2252	0.0	-0.06965329039123208
tyr__L	181.1885	0.0	-0.25016322605301655
val__L	117.1463	0.0	-0.648952839349296
h	1.01	1.0	-0.3737732906909777
h2o	18.02	0.0	8.039231234715665
protein_1g	1000.0	0.0	1.0
