charged	MW	charge	mmol/gDCW
alatrna	89.0932	0.0	-1.125244001109059
argtrna	175.20906000000002	1.0	-0.3941297100658801
asntrna	132.1179	0.0	-0.24942745185874302
asptrna	132.09478000000001	-1.0	-0.7296427426546317
cystrna	121.15921999999999	0.0	-0.01618703227401872
glntrna	146.1445	0.0	-0.2585020002547838
glutrna	146.12136	-1.0	-0.7401888394392198
glytrna	75.0666	0.0	-0.7122294200568237
histrna	155.1546	0.0	-0.1626060969344608
iletrna	131.1729	0.0	-0.4726122907883951
leutrna	131.1729	0.0	-0.7269449039422953
lystrna	147.19558	1.0	-0.7019285813369937
mettrna	149.211	0.0	-0.12434583883223473
phetrna	165.1891	0.0	-0.32840054871077373
protrna	115.1305	0.0	-0.4039400326561945
sertrna	105.09262	0.0	-0.45470845206107136
thrtrna	119.1192	0.0	-0.46942393594654286
trptrna	204.2252	0.0	-0.06965329039123208
tyrtrna	181.1885	0.0	-0.25016322605301655
valtrna	117.1463	0.0	-0.648952839349296
gtp	519.14886	-4.0	-18.07846246943133
h2o	18.02	0.0	-19.07846246943133
trnaala			1.125244001109059
trnaarg			0.3941297100658801
trnaasn			0.24942745185874302
trnaasp			0.7296427426546317
trnacys			0.01618703227401872
trnagln			0.2585020002547838
trnaglu			0.7401888394392198
trnagly			0.7122294200568237
trnahis			0.1626060969344608
trnaile			0.4726122907883951
trnaleu			0.7269449039422953
trnalys			0.7019285813369937
trnamet			0.12434583883223473
trnaphe			0.32840054871077373
trnapro			0.4039400326561945
trnaser			0.45470845206107136
trnathr			0.46942393594654286
trnatrp			0.06965329039123208
trnatyr			0.25016322605301655
trnaval			0.648952839349296
gdp	440.1767	-3.0	18.07846246943133
pi	95.9793	-2.0	18.07846246943133
h	1.01	1.0	26.743920413456017
protein_1g	1000.0	0.0	1.0
