level	name	readable	oids	count	uniprot:proteome	genes	reactions	metabolites
Domain	Eukaryota	Eukaryota	rgm|sai|spo|ncr|tre|ang|ani|lst|yli|arx|nfu|aru|pta|ppa|kcp|car|opm|dbx|pme|pku|bin|cpr|mbi|mgu|dha|pic|spa|wan|cut|hva|kla|lth|zro|sce|vpo	35		1553	2759	2251
Kingdom	Fungi	Fungi	rgm|sai|spo|ncr|tre|ang|ani|lst|yli|arx|nfu|aru|pta|ppa|kcp|car|opm|dbx|pme|pku|bin|cpr|mbi|mgu|dha|pic|spa|wan|cut|hva|kla|lth|zro|sce|vpo	35		1553	2759	2261
Subkingdom	Dikarya	Dikarya	rgm|sai|spo|ncr|tre|ang|ani|lst|yli|arx|nfu|aru|pta|ppa|kcp|car|opm|dbx|pme|pku|bin|cpr|mbi|mgu|dha|pic|spa|wan|cut|hva|kla|lth|zro|sce|vpo	35		1553	2723	2230
Division	Basidiomycota	Basidiomycota	rgm	1		961	2381	2038
Division	Ascomycota	Ascomycota	sai|spo|ncr|tre|ang|ani|lst|yli|arx|nfu|aru|pta|ppa|kcp|car|opm|dbx|pme|pku|bin|cpr|mbi|mgu|dha|pic|spa|wan|cut|hva|kla|lth|zro|sce|vpo	34		1552	2720	2230
Subdivision	Saccharomycotina	Budding	lst|yli|arx|nfu|aru|pta|ppa|kcp|car|opm|dbx|pme|pku|bin|cpr|mbi|mgu|dha|pic|spa|wan|cut|hva|kla|lth|zro|sce|vpo	28		1487	2674	2203
Subdivision	Pucciniomycotina	Puccinio	rgm	1		961	2381	2038
Subdivision	Taphrinomycotina	Taphrino	sai|spo	2		1134	2443	2069
Subdivision	Pezizomycotina	Pezizo	ncr|tre|ang|ani	4		1228	2506	2129
Class	Microbotryomycetes	Microbotry	rgm	1		961	2381	2038
Class	Saccharomycetes	Saccharomycetes	lst|yli|arx|nfu|aru|pta|ppa|kcp|car|opm|dbx|pme|pku|bin|cpr|mbi|mgu|dha|pic|spa|wan|cut|hva|kla|lth|zro|sce|vpo	28		1487	2674	2203
Class	Taphrinomycotina incertae sedis	Taphrinomycotina_incertae	sai	1		1051	2387	2047
Class	Schizosaccharomycetes	Schizosaccharomycetes	spo	1		916	2021	1789
Class	Sordariomycetes	Sordariomycetes	ncr|tre	2		1193	2471	2115
Class	Eurotiomycetes	Eurotiomycetes	ang|ani	2		1160	2462	2095
Subclass	Eurotiomycetidae	Eurotiomycetidae	ang|ani	2		1160	2462	2095
Subclass	Sordariomycetidae	Sordariomycetidae	ncr	1		1144	2422	2077
Subclass	Hypocreomycetidae	Hypocreomycetidae	tre	1		1140	2418	2084
Order	Sporidiobolales	Sporidiobolales	rgm	1		961	2381	2038
Order	Sordariales	Sordariales	ncr	1		1144	2422	2077
Order	Hypocreales	Hypocreales	tre	1		1140	2418	2084
Order	Schizosaccharomycetales	Schizosaccharomycetales	spo	1		916	2021	1789
Order	Saccharomycetales	Saccharomycetales	lst|yli|arx|nfu|aru|pta|ppa|kcp|car|opm|dbx|pme|pku|bin|cpr|mbi|mgu|dha|pic|spa|wan|cut|hva|kla|lth|zro|sce|vpo	28		1487	2674	2203
Order	Eurotiales	Eurotiales	ang|ani	2		1160	2462	2095
Family	Saccharomycetaceae	Saccharomycetaceae	kla|lth|zro|sce|vpo	5		1273	2450	2075
Family	Phaffomycetaceae	Phaffomycetaceae	wan|cut	2		1183	2461	2078
Family	Sordariaceae	Sordariaceae	ncr	1		1144	2422	2077
Family	Pichiaceae	Pichiaceae	pta|ppa|kcp|car|opm|dbx|pme|pku	8		1239	2486	2091
Family	Sporidiobolaceae	Sporidiobolaceae	rgm	1		961	2381	2038
Family	Aspergillaceae	Aspergillaceae	ang|ani	2		1160	2462	2095
Family	Saccharomycetales incertae sedis	Saccharomycetales_incertae	nfu	1		1037	2326	2031
Family	Lipomycetaceae	Lipomycetaceae	lst	1		1053	2368	2049
Family	Debaryomycetaceae	Debaryomycetaceae	bin|cpr|mgu|dha|pic|spa	6		1241	2536	2120
Family	Schizosaccharomycetaceae	Schizosaccharomycetaceae	spo	1		916	2021	1789
Family	Metschnikowiaceae	Metschnikowiaceae	mbi	1		1118	2350	2020
Family	Trichomonascaceae	Trichomonascaceae	arx	1		1115	2421	2062
Family	Hypocreaceae	Hypocreaceae	tre	1		1140	2418	2084
Family	Saccharomycodaceae	Saccharomycodaceae	hva	1		855	2061	1816
Family	Ascoideaceae	Ascoideaceae	aru	1		1060	2337	2023
Family	Dipodascaceae	Dipodascaceae	yli	1		1128	2376	2031
Genus	Yarrowia	Yarrowia	yli	1		1128	2376	2031
