level	name	readable	oids	count
Domain	Eukaryota	Eukaryota	rgm|sai|spo|ncr|tre|ang|ani|lst|yli|arx|nfu|aru|pta|ppa|kcp|car|opm|dbx|pme|pku|bin|cpr|mbi|mgu|dha|pic|spa|wan|cut|hva|kla|lth|zro|sce|vpo	35
Kingdom	Fungi	Fungi	rgm|sai|spo|ncr|tre|ang|ani|lst|yli|arx|nfu|aru|pta|ppa|kcp|car|opm|dbx|pme|pku|bin|cpr|mbi|mgu|dha|pic|spa|wan|cut|hva|kla|lth|zro|sce|vpo	35
Subkingdom	Dikarya	Dikarya	rgm|sai|spo|ncr|tre|ang|ani|lst|yli|arx|nfu|aru|pta|ppa|kcp|car|opm|dbx|pme|pku|bin|cpr|mbi|mgu|dha|pic|spa|wan|cut|hva|kla|lth|zro|sce|vpo	35
Division	Basidiomycota	Basidiomycota	rgm	1
Division	Ascomycota	Ascomycota	sai|spo|ncr|tre|ang|ani|lst|yli|arx|nfu|aru|pta|ppa|kcp|car|opm|dbx|pme|pku|bin|cpr|mbi|mgu|dha|pic|spa|wan|cut|hva|kla|lth|zro|sce|vpo	34
Subdivision	Saccharomycotina	Budding	lst|yli|arx|nfu|aru|pta|ppa|kcp|car|opm|dbx|pme|pku|bin|cpr|mbi|mgu|dha|pic|spa|wan|cut|hva|kla|lth|zro|sce|vpo	28
Subdivision	Pucciniomycotina	Puccinio	rgm	1
Subdivision	Taphrinomycotina	Taphrino	sai|spo	2
Subdivision	Pezizomycotina	Pezizo	ncr|tre|ang|ani	4
Class	Microbotryomycetes	Microbotry	rgm	1
Class	Saccharomycetes	Saccharomycetes	lst|yli|arx|nfu|aru|pta|ppa|kcp|car|opm|dbx|pme|pku|bin|cpr|mbi|mgu|dha|pic|spa|wan|cut|hva|kla|lth|zro|sce|vpo	28
Class	Taphrinomycotina incertae sedis	Taphrinomycotina_incertae	sai	1
Class	Schizosaccharomycetes	Schizosaccharomycetes	spo	1
Class	Sordariomycetes	Sordariomycetes	ncr|tre	2
Class	Eurotiomycetes	Eurotiomycetes	ang|ani	2
Subclass	Eurotiomycetidae	Eurotiomycetidae	ang|ani	2
Subclass	Sordariomycetidae	Sordariomycetidae	ncr	1
Subclass	Hypocreomycetidae	Hypocreomycetidae	tre	1
Order	Sporidiobolales	Sporidiobolales	rgm	1
Order	Sordariales	Sordariales	ncr	1
Order	Hypocreales	Hypocreales	tre	1
Order	Schizosaccharomycetales	Schizosaccharomycetales	spo	1
Order	Saccharomycetales	Saccharomycetales	lst|yli|arx|nfu|aru|pta|ppa|kcp|car|opm|dbx|pme|pku|bin|cpr|mbi|mgu|dha|pic|spa|wan|cut|hva|kla|lth|zro|sce|vpo	28
Order	Eurotiales	Eurotiales	ang|ani	2
Family	Saccharomycetaceae	Saccharomycetaceae	kla|lth|zro|sce|vpo	5
Family	Phaffomycetaceae	Phaffomycetaceae	wan|cut	2
Family	Sordariaceae	Sordariaceae	ncr	1
Family	Pichiaceae	Pichiaceae	pta|ppa|kcp|car|opm|dbx|pme|pku	8
