	EX_succ_e	EX_glyclt_e	DM_ptrc_c	EX_iamoh_e	EX_2mbtoh_e	EX_2phetoh_e	EX_tyrosol_e	EX_ind3eth_e	EX_ibutoh_e	DM_ERGST	DM_lycop_c	DM_farnesene	DM_13bdo__R
BIOMASS	0.0	0.0	0.0	0.0	0.0	2.5871863900968353e-16	2.5871863900968353e-16	9.008905160995183e-16	0.0	0.0	2.048044693078003e-14	0.0	0.0
BIOMASS_TREHALOSE_1G	0.0	0.0	0.0	0.0	0.0	3.880779585145253e-18	3.880779585145253e-18	1.3513357741492774e-17	0.0	0.0	3.0720670396170046e-16	0.0	0.0
BIOMASS_GLYCOGEN_1G	0.0	0.0	0.0	0.0	0.0	2.5871863900968356e-17	2.5871863900968356e-17	9.008905160995183e-17	0.0	0.0	2.048044693078003e-15	0.0	0.0
BIOMASS_GLUCAN_1G	0.0	0.0	0.0	0.0	0.0	6.545581566944993e-17	6.545581566944993e-17	2.2792530057317815e-16	-4.724332687963549e-17	0.0	5.1815530734873476e-15	0.0	-1.3357741032217372e-17
BIOMASS_MANNAN_1G	0.0	0.0	0.0	0.0	0.0	1.811030473067785e-17	1.811030473067785e-17	6.306233612696629e-17	0.0	0.0	1.4336312851546023e-15	0.0	0.0
BIOMASS_CHITIN_1G	0.0	0.0	0.0	0.0	0.0	2.5871863900968355e-18	2.5871863900968355e-18	9.008905160995185e-18	0.0	0.0	2.048044693078003e-16	0.0	0.0
BIOMASS_PROTEIN_iMM904_1G	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BIOMASS_PROTEIN_iMM904_TRNA_1G	0.0	0.0	0.0	0.0	0.0	1.0348745560387343e-16	1.0348745560387343e-16	3.6035620643980737e-16	4.6670806737442e-16	0.0	8.192178772312012e-15	-3.3296365954177075e-17	-3.7672352940932915e-17
BIOMASS_PROTEIN_M_iMM904_1G	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BIOMASS_PROTEIN_M_iMM904_TRNA_1G	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BIOMASS_RNA	0.0	0.0	3.7342384022984114e-16	0.0	-4.952241927642552e-15	1.5005681062561645e-17	1.5005681062561645e-17	5.225164993377207e-17	0.0	0.0	1.1878659219852419e-15	0.0	0.0
BIOMASS_RNA_DEGRADATION	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BIOMASS_RNAm	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BIOMASS_DNA	0.0	0.0	0.0	0.0	5.864275698925583e-15	1.2935931950484177e-18	1.2935931950484177e-18	4.504452580497592e-18	0.0	0.0	1.0240223465390015e-16	0.0	0.0
BIOMASS_DNA_DEGRADATION	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BIOMASS_DNAm	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ACOAC_MONOUNSAT	0.0	0.0	-1.8220179813862984e-31	0.0	-3.4786450671759264e-15	2.796709637441085e-17	2.796709637441085e-17	9.738491197615231e-17	1.261261031379237e-16	0.0	-6.9344116695042525e-15	-1.6799398358456757e-18	0.0
ACOAC_POLYUNSAT	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ACOAC_SAT	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ACOA_PMTCOA	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ACOAD_MONOUNSAT	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ACOAD_POLYUNSAT	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
