	EX_succ_e	EX_glyclt_e	DM_ptrc_c	EX_iamoh_e	EX_2mbtoh_e	EX_2phetoh_e	EX_tyrosol_e	EX_ind3eth_e	EX_ibutoh_e	DM_ERGST	DM_lycop_c	DM_farnesene	DM_13bdo__R
BIOMASS	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.16139496734518632	0.0	0.0
BIOMASS_TREHALOSE_1G	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.002420924510177799	0.0	0.0
BIOMASS_GLYCOGEN_1G	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01613949673451862	0.0	0.0
BIOMASS_GLUCAN_1G	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04083292673833214	-2.4702462297909493e-17	0.0
BIOMASS_MANNAN_1G	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.011297647714163037	0.0	0.0
BIOMASS_CHITIN_1G	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0016139496734518647	0.0	0.0
BIOMASS_PROTEIN_iMM904_1G	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BIOMASS_PROTEIN_iMM904_TRNA_1G	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-5.84983420159261e-17	0.0	0.06455798693807453	7.901267426560061e-17	1.18541866032002e-16
BIOMASS_PROTEIN_M_iMM904_1G	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BIOMASS_PROTEIN_M_iMM904_TRNA_1G	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BIOMASS_RNA	0.0	-5.284152420204952e-16	0.0	2.451675219427282e-15	-2.2191328571124785e-16	0.0	0.0	0.0	0.0	0.0	0.009360908106020808	0.0	0.0
BIOMASS_RNA_DEGRADATION	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BIOMASS_RNAm	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BIOMASS_DNA	0.0	-5.499841545962377e-15	0.0	-2.925184106544342e-15	1.2770341370062005e-15	5.073006694728081e-16	-9.233924709715867e-16	-9.233924709715867e-16	0.0	0.0	0.0008069748367259316	0.0	0.0
BIOMASS_DNA_DEGRADATION	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BIOMASS_DNAm	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ACOAC_MONOUNSAT	0.0	0.0	0.0	-2.4207697184801227e-15	0.0	0.0	0.0	0.0	1.5293874328087953e-15	-2.2055559053584263e-15	0.017446553612708315	0.0	0.0
ACOAC_POLYUNSAT	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ACOAC_SAT	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ACOA_PMTCOA	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ACOAD_MONOUNSAT	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ACOAD_POLYUNSAT	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ACOAD_SAT	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ACOAH_MONOUNSAT	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ACOAH_POLYUNSAT	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ACOAH_SAT	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
FAC_MONOUNSAT	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
FAC_POLYUNSAT	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
FAC_SAT	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PA_SC_MONOUNSAT_1G	0.0	-2.5793674654304984e-15	0.0	-1.2103848592400614e-15	0.0	0.0	0.0	0.0	-5.760687097078395e-15	-1.1027779526792131e-15	0.00014221981321818318	0.0	0.0
PA_SC_POLYUNSAT_1G	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PA_SC_SAT_1G	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PA_SC_C16_1G	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PC_MONOUNSAT_1G	0.0	0.0	0.0	2.4207697184801227e-15	-7.865807695715264e-16	-1.8141610745279142e-16	-4.4347415643080857e-16	-4.4347415643080857e-16	7.439778598594086e-15	0.0	0.0034175719943338135	0.0	0.0
PC_POLYUNSAT_1G	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PC_SAT_1G	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PE_MONOUNSAT_1G	0.0	0.0	0.0	0.0	0.0	1.8141610745279142e-16	4.4347415643080857e-16	4.4347415643080857e-16	-1.2149153442620337e-15	0.0	0.003095258523463499	0.0	0.0
PE_POLYUNSAT_1G	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PE_SAT_1G	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PG_MONOUNSAT_1G	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PG_POLYUNSAT_1G	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PG_SAT_1G	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PS_MONOUNSAT_1G	0.0	0.0	0.0	0.0	9.385232271056081e-16	0.0	0.0	0.0	0.0	0.0	0.00036764229463596016	0.0	0.0
PS_POLYUNSAT_1G	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PS_SAT_1G	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PTD1INO_MONOUNSAT_1G	0.0	-1.3714780822286736e-31	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001456366566791482	0.0	0.0
PTD1INO_POLYUNSAT_1G	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PTD1INO_SAT_1G	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CLPN_MONOUNSAT_1G	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00012210880695401845	0.0	0.0
CLPN_POLYUNSAT_1G	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CLPN_SAT_1G	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BIOMASS_PLIPIDS_MONOUNSAT_1G	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.006455798693807453	0.0	0.0
BIOMASS_PLIPIDS_POLYUNSAT_1G	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BIOMASS_PLIPIDS_SAT_1G	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BIOMASS_STEROL_ERGST_1G	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00015493916865137887	0.0	0.0
BIOMASS_STEROL_ZYMST_1G	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.455798693807453e-06	0.0	0.0
BIOMASS_STEROL_1G	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00016139496734518633	0.0	0.0
HEX1	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0
PGI	10.0	-19.99999999999999	10.0	2.9411764705881946	-4.389140271493203	4.545454545454546	7.14285714285714	7.14285714285714	10.0	8.19621527311769	9.285171360151956	10.0	-5.204855842185122
PFK	9.999999999999998	7.993560825650322e-15	9.999999999999996	7.647058823529387	5.2036199095022635	6.363636363636365	7.142857142857146	7.142857142857146	10.000000000000004	9.398738424372564	9.208948229159052	10.0	4.9317147192716195
FBA	9.999999999999998	7.993560825650322e-15	9.999999999999996	7.647058823529387	5.2036199095022635	6.363636363636365	7.142857142857146	7.142857142857146	10.000000000000004	9.398738424372564	9.208948229159052	10.0	4.9317147192716195
FBA2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TPI	9.999999999999998	6.703877092935073e-15	9.999999999999996	7.647058823529388	5.2036199095022635	6.363636363636365	7.142857142857146	7.142857142857146	10.000000000000004	9.398738424372565	9.200102843545746	10.0	4.93171471927162
GAPD	19.999999999999996	10.0	20.00000000000001	17.647058823529413	15.203619909502258	10.909090909090908	11.428571428571429	11.428571428571429	20.00000000000001	19.398738424372564	18.283215793210466	20.000000000000004	14.931714719271616
GAPDNPx	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
GAPDNPy	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PGK	19.999999999999996	9.999999999999998	20.00000000000001	17.647058823529413	15.203619909502258	10.909090909090908	11.428571428571429	11.428571428571429	20.00000000000001	19.398738424372564	18.283215793210466	20.000000000000004	14.931714719271616
PGM	19.999999999999996	9.999999999999998	20.00000000000001	17.647058823529413	15.203619909502258	10.909090909090908	11.428571428571429	11.428571428571429	20.000000000000007	18.88337135954905	17.900011206416973	20.000000000000004	14.931714719271616
ENO	19.999999999999996	19.999999999999993	20.00000000000001	17.647058823529413	15.20361990950226	10.90909090909091	11.428571428571432	11.428571428571432	20.000000000000007	18.88337135954905	17.900011206416973	21.277955271565492	20.03034901365705
PYK	19.999999999999996	19.999999999999993	20.00000000000001	17.647058823529413	15.20361990950226	3.5687008903550896e-15	3.5687008903550896e-15	3.5687008903550896e-15	20.000000000000007	18.88337135954905	17.02349910074286	21.277955271565492	20.03034901365705
GALM1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
DPGM	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
FBP	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PPCK	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PYRDC	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	18.553214333646483	15.861329688003844	18.722044728434508	9.833080424886207
ALCD2ir	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ALCD2x	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ALCD2y	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ALDD2x	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ALDD2y	0.0	0.0	0.0	7.058823529411793	0.0	0.0	0.0	0.0	0.0	18.553214333646483	15.861329688003844	21.2779552715655	0.0
ALDD2xm	0.0	17.000000000000014	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-1.1590395310179322e-15	0.0
ALDD2ym	0.0	2.9999999999999574	0.31496062992127527	0.0	0.0	-5.477840403500503e-16	-1.0500276860935961e-15	-1.0500276860935961e-15	6.722316819468341e-15	0.0	4.597017211338458e-16	1.1590395310179322e-15	0.0
PC	15.079365079365083	19.99999999999998	20.000000000000025	14.117647058823573	15.203619909502253	3.3427635481732806e-15	-2.0830138689259564e-16	-2.0830138689259564e-16	9.999999999999986	0.0	0.7349892131697774	2.555910543130991	10.19726858877084
ME1m	0.0	0.0	0.0	0.0	0.0	3.6999858798456e-15	1.9479022431526033e-15	1.9479022431526033e-15	0.0	4.440892098500628e-16	0.0	0.0	0.0
ME2m	0.0	0.0	9.606299212598435	7.0588235294117725	7.601809954751126	0.0	0.0	0.0	9.999999999999986	0.0	0.0	0.0	-6.428464925021245e-15
ACLS2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ACLDC	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
