	EX_succ_e	EX_glyclt_e	DM_ptrc_c	EX_iamoh_e	EX_2mbtoh_e	EX_2phetoh_e	EX_tyrosol_e	EX_ind3eth_e	EX_ibutoh_e	DM_ERGST	DM_lycop_c	DM_farnesene	DM_13bdo__R
BIOMASS	0.0	0.0	0.0	0.0	0.0	-8.31744149437047e-17	-2.927764943250202e-16	0.0	-4.5603965662204756e-17	0.0	0.0	0.0	7.109950064248732e-17
BIOMASS_TREHALOSE_1G	0.0	0.0	0.0	0.0	0.0	-1.2476162241555705e-18	-4.391647414875302e-18	0.0	-6.840594849330726e-19	0.0	0.0	0.0	1.0664925096373098e-18
BIOMASS_GLYCOGEN_1G	0.0	0.0	0.0	0.0	0.0	-8.31744149437047e-18	-2.927764943250202e-17	0.0	-4.560396566220476e-18	0.0	0.0	0.0	7.109950064248733e-18
BIOMASS_GLUCAN_1G	0.0	0.0	0.0	0.0	0.0	-2.104312698075729e-17	-7.40724530642301e-17	0.0	-1.1537803312537804e-17	0.0	0.0	0.0	1.7988173662549293e-17
BIOMASS_MANNAN_1G	0.0	0.0	0.0	0.0	0.0	-5.8222090460593295e-18	-2.049435460275142e-17	0.0	-3.192277596354333e-18	0.0	0.0	0.0	4.976965044974113e-18
BIOMASS_CHITIN_1G	0.0	0.0	0.0	0.0	0.0	-8.31744149437047e-19	-2.9277649432502017e-18	0.0	-4.5603965662204755e-19	0.0	0.0	0.0	7.109950064248733e-19
BIOMASS_PROTEIN_iMM904_1G	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BIOMASS_PROTEIN_iMM904_TRNA_1G	0.0	0.0	0.0	0.0	0.0	-3.326976597748188e-17	-1.1711059773000809e-16	0.0	-1.8241586264881904e-17	0.0	0.0	0.0	2.843980025699493e-17
BIOMASS_PROTEIN_M_iMM904_1G	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BIOMASS_PROTEIN_M_iMM904_TRNA_1G	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BIOMASS_RNA	0.0	2.1604376432530807e-16	7.364817303006779e-16	0.0	0.0	-4.824116066734873e-18	-1.6981036670851172e-17	0.0	-2.645030008407876e-18	0.0	0.0	0.0	4.123771037264265e-18
BIOMASS_RNA_DEGRADATION	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BIOMASS_RNAm	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BIOMASS_DNA	0.0	0.0	0.0	0.0	0.0	-4.158720747185235e-19	-1.4638824716251008e-18	0.0	-2.2801982831102378e-19	0.0	0.0	0.0	3.5549750321243663e-19
BIOMASS_DNA_DEGRADATION	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BIOMASS_DNAm	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ACOAC_MONOUNSAT	0.0	0.0	0.0	-4.728760652073735e-16	0.0	-8.991029357296371e-18	-3.164869939132417e-17	0.0	-4.929720207296183e-18	0.0	8.481539994901244e-17	1.0258705341833022e-16	7.682174753813924e-18
ACOAC_POLYUNSAT	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ACOAC_SAT	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ACOA_PMTCOA	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ACOAD_MONOUNSAT	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ACOAD_POLYUNSAT	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ACOAD_SAT	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ACOAH_MONOUNSAT	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ACOAH_POLYUNSAT	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ACOAH_SAT	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
FAC_MONOUNSAT	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
FAC_POLYUNSAT	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
FAC_SAT	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PA_SC_MONOUNSAT_1G	0.0	0.0	0.0	0.0	0.0	-7.329255646816883e-20	-2.579920490861618e-19	0.0	-4.018580991200054e-20	0.0	0.0	0.0	6.265224912282384e-20
PA_SC_POLYUNSAT_1G	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PA_SC_SAT_1G	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PA_SC_C16_1G	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PC_MONOUNSAT_1G	0.0	-2.2238104807885044e-16	-4.0603549574686467e-16	1.0267073712256042e-15	6.678989707131434e-16	-1.761235531890844e-18	-6.199603147875125e-18	0.0	-9.656734558790446e-19	0.0	0.0	0.0	1.5055467106801986e-18
