	EX_succ_e	EX_glyclt_e	DM_ptrc_c	EX_iamoh_e	EX_2mbtoh_e	EX_2phetoh_e	EX_tyrosol_e	EX_ind3eth_e	EX_ibutoh_e	DM_ERGST	DM_lycop_c	DM_farnesene	DM_13bdo__R
BIOMASS	0.0	0.0	0.0	0.0	0.0	5.668156707047415e-17	5.668156707047415e-17	0.0	0.0	0.0	0.0	0.0	0.0
BIOMASS_TREHALOSE_1G	0.0	0.0	0.0	0.0	0.0	8.502235060571124e-19	8.502235060571124e-19	0.0	0.0	0.0	0.0	0.0	5.595369892501322e-18
BIOMASS_GLYCOGEN_1G	0.0	0.0	0.0	0.0	0.0	5.668156707047415e-18	5.668156707047415e-18	0.0	0.0	0.0	0.0	0.0	0.0
BIOMASS_GLUCAN_1G	0.0	0.0	0.0	0.0	0.0	1.4340436468829963e-17	1.4340436468829963e-17	0.0	0.0	0.0	0.0	0.0	0.0
BIOMASS_MANNAN_1G	0.0	0.0	0.0	0.0	0.0	3.967709694933191e-18	3.967709694933191e-18	0.0	0.0	0.0	0.0	0.0	0.0
BIOMASS_CHITIN_1G	0.0	0.0	0.0	0.0	0.0	5.668156707047416e-19	5.668156707047416e-19	0.0	0.0	0.0	0.0	0.0	0.0
BIOMASS_PROTEIN_iMM904_1G	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BIOMASS_PROTEIN_iMM904_TRNA_1G	0.0	0.0	0.0	0.0	0.0	2.267262682818966e-17	2.267262682818966e-17	0.0	-1.6519805389130556e-16	0.0	0.0	-1.0692872182021154e-30	0.0
BIOMASS_PROTEIN_M_iMM904_1G	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BIOMASS_PROTEIN_M_iMM904_TRNA_1G	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BIOMASS_RNA	0.0	0.0	0.0	0.0	0.0	3.287530890087501e-18	3.287530890087501e-18	0.0	0.0	0.0	0.0	0.0	0.0
BIOMASS_RNA_DEGRADATION	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BIOMASS_RNAm	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BIOMASS_DNA	0.0	0.0	0.0	0.0	0.0	2.834078353523708e-19	2.834078353523708e-19	0.0	0.0	0.0	0.0	0.0	0.0
BIOMASS_DNA_DEGRADATION	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BIOMASS_DNAm	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ACOAC_MONOUNSAT	0.0	0.0	0.0	-1.0104549288782538e-15	-5.28937395010778e-15	6.127192284948786e-18	6.127192284948786e-18	0.0	0.0	0.0	0.0	0.0	0.0
ACOAC_POLYUNSAT	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ACOAC_SAT	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ACOA_PMTCOA	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ACOAD_MONOUNSAT	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ACOAD_POLYUNSAT	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ACOAD_SAT	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ACOAH_MONOUNSAT	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ACOAH_POLYUNSAT	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ACOAH_SAT	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
FAC_MONOUNSAT	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
FAC_POLYUNSAT	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
FAC_SAT	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PA_SC_MONOUNSAT_1G	0.0	0.0	0.0	0.0	0.0	4.9947293984921014e-20	4.9947293984921014e-20	0.0	0.0	0.0	0.0	0.0	0.0
PA_SC_POLYUNSAT_1G	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PA_SC_SAT_1G	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PA_SC_C16_1G	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PC_MONOUNSAT_1G	0.0	0.0	0.0	0.0	0.0	1.2002439691982346e-18	1.2002439691982346e-18	0.0	0.0	0.0	0.0	0.0	0.0
PC_POLYUNSAT_1G	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PC_SAT_1G	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PE_MONOUNSAT_1G	0.0	0.0	0.0	-7.752069190709073e-16	0.0	1.0870481681310329e-18	1.0870481681310329e-18	0.0	0.0	0.0	0.0	0.0	0.0
PE_POLYUNSAT_1G	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PE_SAT_1G	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PG_MONOUNSAT_1G	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PG_POLYUNSAT_1G	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PG_SAT_1G	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PS_MONOUNSAT_1G	0.0	0.0	0.0	0.0	0.0	1.291151869486883e-19	1.291151869486883e-19	0.0	0.0	0.0	0.0	0.0	0.0
PS_POLYUNSAT_1G	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PS_SAT_1G	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PTD1INO_MONOUNSAT_1G	0.0	0.0	0.0	2.5956002118445025e-15	0.0	5.114728209475948e-19	5.114728209475948e-19	0.0	0.0	0.0	0.0	0.0	0.0
PTD1INO_POLYUNSAT_1G	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PTD1INO_SAT_1G	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CLPN_MONOUNSAT_1G	0.0	0.0	0.0	0.0	0.0	4.2884351631960655e-20	4.2884351631960655e-20	0.0	0.0	0.0	0.0	0.0	0.0
CLPN_POLYUNSAT_1G	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CLPN_SAT_1G	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BIOMASS_PLIPIDS_MONOUNSAT_1G	0.0	0.0	0.0	0.0	0.0	2.2672626828189663e-18	2.2672626828189663e-18	0.0	0.0	0.0	0.0	0.0	0.0
BIOMASS_PLIPIDS_POLYUNSAT_1G	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BIOMASS_PLIPIDS_SAT_1G	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BIOMASS_STEROL_ERGST_1G	0.0	0.0	0.0	0.0	0.0	-4.7147043502374896e-20	6.020852230367318e-21	0.0	0.0	0.0	0.0	0.0	0.0
BIOMASS_STEROL_ZYMST_1G	0.0	0.0	0.0	0.0	0.0	-1.964460145932288e-21	2.508688429319714e-22	0.0	0.0	0.0	0.0	0.0	0.0
BIOMASS_STEROL_1G	0.0	0.0	0.0	0.0	0.0	-4.91115036483072e-20	6.271721073299284e-21	0.0	0.0	0.0	0.0	0.0	0.0
HEX1	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0
PGI	10.0	-20.000000000000007	10.0	5.101340556691535e-15	-4.389140271493195	4.545454545454543	7.142857142857132	5.495978552278826	9.999999999999996	-5.475352112676016	-4.999999999999975	-4.999999999999976	-5.3890489913544934
PFK	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.8756601210472245e-14	0.0
FBA	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.8756601210472245e-14	0.0
FBA2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TPI	10.0	1.7763568394002505e-15	10.0	6.666666666666666	5.203619909502266	6.3636363636363695	7.142857142857147	3.9142091152815035	9.999999999999996	4.8415492957746675	4.999999999999989	5.00000000000001	4.870317002881834
GAPD	20.0	10.000000000000004	20.0	16.666666666666664	15.203619909502251	10.909090909090917	11.428571428571434	9.329758713136732	19.999999999999996	14.84154929577468	14.999999999999961	15.000000000000014	14.870317002881832
GAPDNPx	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
GAPDNPy	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PGK	20.0	10.000000000000004	20.0	16.666666666666664	15.203619909502251	10.909090909090917	11.428571428571434	9.329758713136732	19.999999999999996	14.84154929577468	14.999999999999961	15.000000000000014	14.870317002881832
PGM	20.0	10.000000000000005	20.0	16.666666666666664	15.203619909502251	10.909090909090917	11.428571428571434	4.745308310991953	19.999999999999996	14.84154929577468	14.999999999999961	15.000000000000014	14.870317002881832
ENO	20.0	20.000000000000014	20.0	16.666666666666664	15.203619909502251	10.90909090909091	11.428571428571427	4.745308310991953	19.999999999999996	14.84154929577468	14.999999999999961	15.000000000000014	15.561959654178658
PYK	20.0	20.000000000000014	20.0	16.666666666666664	15.203619909502251	0.0	0.0	0.0	19.999999999999996	14.84154929577468	14.999999999999961	15.000000000000014	15.561959654178658
GALM1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
DPGM	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
