	EX_succ_e	EX_glyclt_e	DM_ptrc_c	EX_iamoh_e	EX_2mbtoh_e	EX_2phetoh_e	EX_tyrosol_e	EX_ind3eth_e	EX_ibutoh_e	DM_ERGST	DM_lycop_c	DM_farnesene	DM_13bdo__R
BIOMASS	0.0	-7.62404334081269e-16	0.0	0.0	0.0	2.0664476406492884e-17	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BIOMASS_TREHALOSE_1G	0.0	0.0	0.0	0.0	0.0	3.099671460973932e-19	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BIOMASS_GLYCOGEN_1G	0.0	0.0	0.0	0.0	0.0	2.0664476406492883e-18	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BIOMASS_GLUCAN_1G	0.0	0.0	0.0	0.0	0.0	5.2281125308426996e-18	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BIOMASS_MANNAN_1G	0.0	0.0	0.0	0.0	0.0	1.4465133484545023e-18	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BIOMASS_CHITIN_1G	0.0	0.0	0.0	0.0	0.0	2.0664476406492883e-19	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BIOMASS_PROTEIN_iMM904_1G	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BIOMASS_PROTEIN_iMM904_TRNA_1G	0.0	-3.049617336325076e-16	0.0	0.0	0.0	8.265790562597152e-18	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BIOMASS_PROTEIN_M_iMM904_1G	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BIOMASS_PROTEIN_M_iMM904_TRNA_1G	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BIOMASS_RNA	0.0	-4.42194513767136e-17	0.0	0.0	0.0	1.1985396315765871e-18	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BIOMASS_RNA_DEGRADATION	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BIOMASS_RNAm	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BIOMASS_DNA	0.0	-3.812021670406345e-18	0.0	0.0	0.0	1.0332238203246442e-19	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BIOMASS_DNA_DEGRADATION	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BIOMASS_DNAm	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ACOAC_MONOUNSAT	0.0	0.0	0.0	0.0	0.0	2.402479561077439e-18	0.0	0.0	0.0	0.0	0.0	0.0	-1.7343525506950758e-16
ACOAC_POLYUNSAT	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ACOAC_SAT	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ACOA_PMTCOA	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ACOAD_MONOUNSAT	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ACOAD_POLYUNSAT	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ACOAD_SAT	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ACOAH_MONOUNSAT	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ACOAH_POLYUNSAT	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ACOAH_SAT	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
FAC_MONOUNSAT	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
FAC_POLYUNSAT	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
FAC_SAT	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PA_SC_MONOUNSAT_1G	0.0	0.0	0.0	0.0	0.0	6.358797422939774e-20	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PA_SC_POLYUNSAT_1G	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PA_SC_SAT_1G	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PA_SC_C16_1G	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PC_MONOUNSAT_1G	0.0	0.0	0.0	0.0	0.0	4.375745849209602e-19	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PC_POLYUNSAT_1G	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PC_SAT_1G	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PE_MONOUNSAT_1G	0.0	0.0	0.0	0.0	0.0	3.963066369571274e-19	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PE_POLYUNSAT_1G	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PE_SAT_1G	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PG_MONOUNSAT_1G	0.0	5.768227174774623e-19	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PG_POLYUNSAT_1G	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PG_SAT_1G	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PS_MONOUNSAT_1G	0.0	0.0	0.0	0.0	0.0	4.7071700242778485e-20	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PS_POLYUNSAT_1G	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PS_SAT_1G	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PTD1INO_MONOUNSAT_1G	0.0	5.768227174784059e-19	-1.4498476298996323e-16	0.0	2.10402898190646e-15	1.8646834565975806e-19	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PTD1INO_POLYUNSAT_1G	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PTD1INO_SAT_1G	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CLPN_MONOUNSAT_1G	0.0	-5.768227174774622e-19	0.0	0.0	0.0	1.5634406709408267e-20	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CLPN_POLYUNSAT_1G	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CLPN_SAT_1G	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BIOMASS_PLIPIDS_MONOUNSAT_1G	0.0	-3.049617336325076e-17	0.0	0.0	0.0	8.265790562597155e-19	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BIOMASS_PLIPIDS_POLYUNSAT_1G	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
