	EX_succ_e	EX_glyclt_e	DM_ptrc_c	EX_iamoh_e	EX_2mbtoh_e	EX_2phetoh_e	EX_tyrosol_e	EX_ind3eth_e	EX_ibutoh_e	DM_ERGST	DM_lycop_c	DM_farnesene	DM_13bdo__R
BIOMASS	0.0	0.0	0.0	0.0	0.0	0.0	-1.4134809493848198e-16	0.0	0.0	0.0	0.16291580337116535	-1.5667022319701405e-16	4.097717309098152e-18
BIOMASS_TREHALOSE_1G	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00244373705056748	-2.3500533479552106e-18	6.146575963647228e-20
BIOMASS_GLYCOGEN_1G	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.016291580337116536	-1.5667022319701406e-17	4.0977173090981516e-19
BIOMASS_GLUCAN_1G	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04121769825290483	7.371333726511163e-17	-2.9582283945787943e-31
BIOMASS_MANNAN_1G	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.011404106235981575	-1.0966915623790984e-17	2.8684021163687063e-19
BIOMASS_CHITIN_1G	0.0	0.0	0.0	0.0	0.0	0.0	-5.0746535778415586e-18	0.0	0.0	0.0	0.0016291580337116536	-1.5667022319701406e-18	4.0977173090981526e-20
BIOMASS_PROTEIN_iMM904_1G	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BIOMASS_PROTEIN_iMM904_TRNA_1G	0.0	0.0	0.0	0.0	0.0	0.0	-5.653923797539279e-17	0.0	0.0	0.0	0.06516632134846614	-6.266808927880563e-17	1.6390869236392608e-18
BIOMASS_PROTEIN_M_iMM904_1G	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BIOMASS_PROTEIN_M_iMM904_TRNA_1G	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BIOMASS_RNA	3.5160288644355226e-16	0.0	0.0	0.0	0.0	0.0	-8.198189506431956e-18	0.0	0.0	0.0	0.009449116595527591	-9.086872945426815e-18	2.376676039276928e-19
BIOMASS_RNA_DEGRADATION	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BIOMASS_RNAm	-3.82220247371345e-15	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BIOMASS_DNA	5.843160532318745e-17	0.0	0.0	0.0	0.0	0.0	-7.067404746924099e-19	0.0	0.0	0.0	0.0008145790168558268	-7.833511159850703e-19	2.048858654549076e-20
BIOMASS_DNA_DEGRADATION	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BIOMASS_DNAm	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ACOAC_MONOUNSAT	0.0	0.0	3.0531007535185485e-15	4.996003610813204e-16	-4.726975466897542e-16	0.0	7.380725397511636e-16	0.0	0.0	0.0	0.017610953703360323	-1.6935815865154388e-17	4.429570878128733e-19
ACOAC_POLYUNSAT	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ACOAC_SAT	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ACOA_PMTCOA	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ACOAD_MONOUNSAT	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ACOAD_POLYUNSAT	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ACOAD_SAT	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ACOAH_MONOUNSAT	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ACOAH_POLYUNSAT	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ACOAH_SAT	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
FAC_MONOUNSAT	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
FAC_POLYUNSAT	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
FAC_SAT	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PA_SC_MONOUNSAT_1G	4.549422612841678e-30	0.0	0.0	0.0	0.0	0.0	-1.2455468712294068e-19	0.0	0.0	0.0	0.00014355996043037967	-1.3805641059597107e-19	-4.3654642698140106e-33
PA_SC_POLYUNSAT_1G	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PA_SC_SAT_1G	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PA_SC_C16_1G	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PC_MONOUNSAT_1G	0.0	0.0	0.0	0.0	0.0	0.0	-2.9930753025342097e-18	0.0	0.0	0.0	0.0034497760134296674	-3.3175245545233027e-18	8.677001610786857e-20
PC_POLYUNSAT_1G	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PC_SAT_1G	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PE_MONOUNSAT_1G	0.0	0.0	0.0	0.0	0.0	0.0	-2.6205496870469885e-16	0.0	0.0	0.0	0.0031244253602591755	-3.004646623747086e-18	7.858667860815566e-20
PE_POLYUNSAT_1G	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PE_SAT_1G	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PG_MONOUNSAT_1G	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PG_POLYUNSAT_1G	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PG_SAT_1G	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PS_MONOUNSAT_1G	0.0	7.122256355539902e-15	3.0531007535185485e-15	4.996003610813204e-16	-4.726975466897542e-16	0.0	0.0	0.0	0.0	0.0	0.0003711066136017434	-3.5687977949014464e-19	9.334207993389868e-21
PS_POLYUNSAT_1G	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PS_SAT_1G	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PTD1INO_MONOUNSAT_1G	0.0	2.5243548967072383e-29	0.0	0.0	0.0	0.0	7.356522305653794e-17	0.0	0.0	0.0	0.0014700900104541973	-1.413732279445176e-18	3.6976236541314215e-20
PTD1INO_POLYUNSAT_1G	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PTD1INO_SAT_1G	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CLPN_MONOUNSAT_1G	0.0	0.0	0.0	0.0	0.0	0.0	-1.069416693845637e-19	0.0	0.0	0.0	0.00012325944675251852	-1.185341423867995e-19	3.1002662603390646e-21
CLPN_POLYUNSAT_1G	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CLPN_SAT_1G	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BIOMASS_PLIPIDS_MONOUNSAT_1G	0.0	0.0	0.0	0.0	0.0	0.0	-5.6539237975392796e-18	0.0	0.0	0.0	0.006516632134846614	-6.266808927880562e-18	1.6390869236392608e-19
BIOMASS_PLIPIDS_POLYUNSAT_1G	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BIOMASS_PLIPIDS_SAT_1G	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BIOMASS_STEROL_ERGST_1G	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00015639917123631874	-1.5040341426913347e-19	3.933808616734226e-21
BIOMASS_STEROL_ZYMST_1G	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.516632134846614e-06	-6.2668089278805614e-21	1.6390869236392608e-22
BIOMASS_STEROL_1G	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00016291580337116535	-1.5667022319701403e-19	4.097717309098152e-21
HEX1	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	9.999999999999995	10.0	10.0	10.0
PGI	10.0	10.0	10.0	10.0	1.4285714285713649	6.756756756756757	9.574468085106382	5.495978552278823	10.0	8.196215273117682	9.635948163612257	10.0	10.0
PFK	10.0	10.000000000000004	10.0	10.0	4.285714285714243	4.0540540540540535	5.744680851063829	2.4128686327077755	10.0	9.39873842437256	8.993345819277591	10.0	10.0
FBA	10.0	10.000000000000004	10.0	10.0	4.285714285714243	4.0540540540540535	5.744680851063829	2.4128686327077755	10.0	9.39873842437256	8.993345819277591	10.0	10.0
FBA2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TPI	10.0	10.000000000000004	10.0	10.0	7.142857142857122	7.027027027027026	7.872340425531915	3.9142091152815013	10.000000000000002	9.398738424372558	8.984417082979158	10.0	10.0
GAPD	20.0	20.0	20.0	20.0	17.14285714285712	11.35135135135135	11.914893617021276	9.329758713136728	20.0	19.398738424372578	16.977423574882966	19.999999999999996	19.999999999999996
GAPDNPx	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
GAPDNPy	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PGK	20.0	20.0	20.0	20.0	17.14285714285712	11.35135135135135	11.914893617021276	9.329758713136728	20.0	19.398738424372578	16.977423574882966	19.999999999999996	19.999999999999996
PGM	20.0	20.0	20.0	20.0	17.142857142857103	11.351351351351353	11.914893617021276	4.745308310991956	20.0	18.883371359549102	16.876909916354187	19.999999999999996	19.999999999999996
ENO	20.0	20.0	20.0	20.0	17.142857142857103	11.35135135135135	11.914893617021278	4.745308310991956	20.0	18.883371359549102	16.876909916354187	19.999999999999996	19.999999999999996
PYK	20.0	20.0	20.0	20.0	17.142857142857103	0.0	0.0	0.0	20.0	18.883371359549102	13.829205241654972	19.999999999999996	19.999999999999996
GALM1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
DPGM	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
FBP	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PPCK	0.0	0.0	0.0	0.0	0.0	4.240060272416591e-15	3.087764647637375e-15	4.42359249329759	0.0	0.0	0.0	0.0	0.0
