	EX_succ_e	EX_glyclt_e	DM_ptrc_c	EX_iamoh_e	EX_2mbtoh_e	EX_2phetoh_e	EX_tyrosol_e	EX_ind3eth_e	EX_ibutoh_e	DM_ERGST	DM_lycop_c	DM_farnesene	DM_13bdo__R
BIOMASS	0.0	0.0	0.0	0.0	0.0	0.0	-6.006328725851581e-30	0.0	5.871920338516571e-17	0.0	0.13619107985245	0.0	1.358839369033761e-16
BIOMASS_TREHALOSE_1G	0.0	0.0	0.0	0.0	0.0	0.0	-9.009493088777372e-32	0.0	8.807880507774857e-19	0.0	0.0020428661977867496	0.0	2.0382590535506413e-18
BIOMASS_GLYCOGEN_1G	0.0	0.0	0.0	0.0	0.0	0.0	-6.0063287258515815e-31	0.0	5.8719203385165715e-18	0.0	0.013619107985245	0.0	1.358839369033761e-17
BIOMASS_GLUCAN_1G	0.0	0.0	0.0	0.0	0.0	0.0	-1.51960116764045e-30	0.0	1.4855958456446926e-17	0.0	0.03445634320266985	0.0	3.4378636036554154e-17
BIOMASS_MANNAN_1G	0.0	0.0	0.0	0.0	0.0	0.0	-4.204430108096107e-31	0.0	4.110344236961601e-18	0.0	0.009533375589671501	0.0	9.511875583236329e-18
BIOMASS_CHITIN_1G	0.0	0.0	0.0	0.0	0.0	0.0	-6.006328725851581e-32	0.0	5.871920338516571e-19	0.0	0.0013619107985245002	0.0	1.358839369033761e-18
BIOMASS_PROTEIN_iMM904_1G	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BIOMASS_PROTEIN_iMM904_TRNA_1G	0.0	0.0	0.0	0.0	0.0	0.0	-2.4025314903406326e-30	0.0	2.3487681354066286e-17	0.0	0.05447643194098	0.0	5.435357476135044e-17
BIOMASS_PROTEIN_M_iMM904_1G	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BIOMASS_PROTEIN_M_iMM904_TRNA_1G	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
