	EX_succ_e	EX_glyclt_e	DM_ptrc_c	EX_iamoh_e	EX_2mbtoh_e	EX_2phetoh_e	EX_tyrosol_e	EX_ind3eth_e	EX_ibutoh_e	DM_ERGST	DM_lycop_c	DM_farnesene	DM_13bdo__R
BIOMASS	0.0	-2.3318645498742865e-14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07462992630698793	0.0	0.0
BIOMASS_TREHALOSE_1G	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001119448894604831	0.0	0.0
BIOMASS_GLYCOGEN_1G	0.0	-2.3318645498742867e-15	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.007462992630698793	0.0	0.0
BIOMASS_GLUCAN_1G	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.018881371355667947	0.0	0.0
BIOMASS_MANNAN_1G	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.005224094841489156	0.0	0.0
BIOMASS_CHITIN_1G	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0007462992630698793	0.0	0.0
BIOMASS_PROTEIN_iMM904_1G	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BIOMASS_PROTEIN_iMM904_TRNA_1G	0.0	-9.327458199497147e-15	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.029851970522795174	0.0	0.0
BIOMASS_PROTEIN_M_iMM904_1G	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BIOMASS_PROTEIN_M_iMM904_TRNA_1G	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BIOMASS_RNA	0.0	-1.3524814389270862e-15	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0043285357258053	0.0	0.0
BIOMASS_RNA_DEGRADATION	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BIOMASS_RNAm	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BIOMASS_DNA	0.0	-1.1659322749371433e-16	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00037314963153493966	0.0	0.0
BIOMASS_DNA_DEGRADATION	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BIOMASS_DNAm	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ACOAC_MONOUNSAT	0.0	1.38006997866853e-15	0.0	0.0	0.0	-1.599736948171622e-30	0.0	0.0	0.0	0.0	0.008067382966422417	0.0	0.0
