	EX_succ_e	EX_glyclt_e	DM_ptrc_c	EX_iamoh_e	EX_2mbtoh_e	EX_2phetoh_e	EX_tyrosol_e	EX_ind3eth_e	EX_ibutoh_e	DM_ERGST	DM_lycop_c	DM_farnesene	DM_13bdo__R
BIOMASS	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-2.806917675787195e-16	0.0	-2.786102193013462e-15
BIOMASS_TREHALOSE_1G	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-4.210376513680792e-18	0.0	-4.179153289520193e-17
BIOMASS_GLYCOGEN_1G	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-2.8069176757871954e-17	0.0	-2.7861021930134624e-16
BIOMASS_GLUCAN_1G	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-7.101501719741603e-17	0.0	-7.048838548324059e-16
BIOMASS_MANNAN_1G	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-1.9648423730510368e-17	0.0	-1.9502715351094236e-16
BIOMASS_CHITIN_1G	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-2.806917675787195e-18	0.0	-2.786102193013462e-17
BIOMASS_PROTEIN_iMM904_1G	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BIOMASS_PROTEIN_iMM904_TRNA_1G	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-1.1227670703148782e-16	0.0	-1.114440877205385e-15
BIOMASS_PROTEIN_M_iMM904_1G	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BIOMASS_PROTEIN_M_iMM904_TRNA_1G	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BIOMASS_RNA	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-1.628012251956573e-17	0.0	-1.615939271947808e-16
BIOMASS_RNA_DEGRADATION	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BIOMASS_RNAm	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BIOMASS_DNA	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-1.4034588378935975e-18	0.0	-1.3930510965067314e-17
BIOMASS_DNA_DEGRADATION	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BIOMASS_DNAm	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ACOAC_MONOUNSAT	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-3.0117346333925515e-16
ACOAC_POLYUNSAT	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ACOAC_SAT	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ACOA_PMTCOA	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ACOAD_MONOUNSAT	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ACOAD_POLYUNSAT	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ACOAD_SAT	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ACOAH_MONOUNSAT	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ACOAH_POLYUNSAT	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ACOAH_SAT	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
FAC_MONOUNSAT	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
FAC_POLYUNSAT	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
FAC_SAT	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PA_SC_MONOUNSAT_1G	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-2.473430951012721e-19	0.0	-2.4550885322816893e-18
PA_SC_POLYUNSAT_1G	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PA_SC_SAT_1G	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PA_SC_C16_1G	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PC_MONOUNSAT_1G	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-5.943706546099421e-18	0.0	-5.899629328484638e-17
PC_POLYUNSAT_1G	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PC_SAT_1G	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PE_MONOUNSAT_1G	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-5.38315165804318e-18	0.0	-5.343231391918893e-17
PE_POLYUNSAT_1G	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PE_SAT_1G	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PG_MONOUNSAT_1G	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.517117928848558e-17	0.0	0.0
PG_POLYUNSAT_1G	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PG_SAT_1G	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PS_MONOUNSAT_1G	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-6.3938899220665035e-19	0.0	-6.3464742437664295e-18
PS_POLYUNSAT_1G	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PS_SAT_1G	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PTD1INO_MONOUNSAT_1G	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-2.5328553461084357e-18	0.0	-2.514072249161892e-17
PTD1INO_POLYUNSAT_1G	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PTD1INO_SAT_1G	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CLPN_MONOUNSAT_1G	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-2.1236682546331167e-19	0.0	-2.1079195989626074e-18
CLPN_POLYUNSAT_1G	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CLPN_SAT_1G	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BIOMASS_PLIPIDS_MONOUNSAT_1G	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-1.122767070314878e-17	0.0	-1.1144408772053849e-16
BIOMASS_PLIPIDS_POLYUNSAT_1G	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BIOMASS_PLIPIDS_SAT_1G	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BIOMASS_STEROL_ERGST_1G	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-2.694640968755707e-19	0.0	-2.6746581052929233e-18
BIOMASS_STEROL_ZYMST_1G	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-1.1227670703148782e-20	0.0	-1.1144408772053849e-19
BIOMASS_STEROL_1G	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-2.806917675787195e-19	0.0	-2.786102193013462e-18
HEX1	10.0	10.0	10.0	10.0	10.0	9.999999999999996	9.999999999999996	10.0	10.0	10.0	10.0	10.0	10.000000000000007
PGI	10.0	-16.411483253588532	9.104477611940325	4.545454545454565	-4.881266490765169	4.545454545454544	7.142857142857141	6.408450704225354	10.000000000000005	9.284009546539355	10.0	10.0	-3.5483870967742126
PFK	10.0	1.1961722488038253	9.70149253731344	8.181818181818189	5.0395778364116115	6.363636363636365	7.142857142857143	4.471830985915494	10.000000000000007	9.761336515513117	10.000000000000002	10.0	5.48387096774192
FBA	10.0	1.1961722488038253	9.70149253731344	8.181818181818189	5.0395778364116115	6.363636363636365	7.142857142857143	4.471830985915494	10.000000000000007	9.761336515513117	10.000000000000002	10.0	5.48387096774192
FBA2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TPI	10.0	1.1961722488038253	9.70149253731344	8.181818181818189	5.0395778364116115	6.363636363636365	7.142857142857143	4.471830985915494	10.000000000000004	9.761336515513117	10.000000000000002	10.0	5.48387096774192
GAPD	20.0	11.196172248803833	19.701492537313445	18.181818181818187	15.03957783641161	10.90909090909091	11.428571428571429	10.140845070422536	20.000000000000004	19.76133651551311	19.999999999999993	20.000000000000004	15.483870967741924
GAPDNPx	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
