	EX_succ_e	EX_glyclt_e	DM_ptrc_c	EX_iamoh_e	EX_2mbtoh_e	EX_2phetoh_e	EX_tyrosol_e	EX_ind3eth_e	EX_ibutoh_e	DM_ERGST	DM_lycop_c	DM_farnesene	DM_13bdo__R
BIOMASS	-2.120765742582381e-17	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.4273707772147275e-16	0.0	1.4495109978651084e-16	0.0	2.0257388048264063e-15
BIOMASS_TREHALOSE_1G	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.6410561658220705e-18	0.0	2.1742664967976625e-18	0.0	-1.2220513735236768e-17
BIOMASS_GLYCOGEN_1G	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.4273707772147275e-17	0.0	1.4495109978651086e-17	0.0	2.0257388048264063e-16
BIOMASS_GLUCAN_1G	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-3.365427726526249e-17	0.0	3.667262824598724e-17	0.0	-4.351538560985853e-31
BIOMASS_MANNAN_1G	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.099159544050309e-17	0.0	1.0146576985055759e-17	0.0	1.4180171633784846e-16
BIOMASS_CHITIN_1G	0.0	7.462897398721784e-31	0.0	0.0	0.0	0.0	0.0	0.0	4.4273707772147275e-18	0.0	1.4495109978651085e-18	0.0	2.0257388048264064e-17
BIOMASS_PROTEIN_iMM904_1G	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BIOMASS_PROTEIN_iMM904_TRNA_1G	1.2322593360077355e-17	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.770948310885891e-16	0.0	5.798043991460434e-17	0.0	8.102955219305625e-16
BIOMASS_PROTEIN_M_iMM904_1G	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BIOMASS_PROTEIN_M_iMM904_TRNA_1G	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BIOMASS_RNA	-1.1785894864517784e-19	1.8995579789828672e-15	-3.636713854668615e-16	-3.636713854668615e-16	-3.636713854668615e-16	-3.636713854668615e-16	-3.636713854668615e-16	-3.636713854668615e-16	2.5678750507845422e-17	0.0	8.407163787617629e-18	0.0	1.1749285067993158e-16
BIOMASS_RNA_DEGRADATION	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BIOMASS_RNAm	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BIOMASS_DNA	-1.0603828712911905e-19	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.2136853886073638e-18	0.0	7.247554989325542e-19	0.0	1.0128694024132032e-17
BIOMASS_DNA_DEGRADATION	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BIOMASS_DNAm	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ACOAC_MONOUNSAT	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.785921326950861e-17	0.0	5.760147276986556e-32	0.0	2.1897932286913219e-16
