	EX_succ_e	EX_glyclt_e	DM_ptrc_c	EX_iamoh_e	EX_2mbtoh_e	EX_2phetoh_e	EX_tyrosol_e	EX_ind3eth_e	EX_ibutoh_e	DM_ERGST	DM_lycop_c	DM_farnesene	DM_13bdo__R
BIOMASS	0.0	0.0	0.0	0.0	1.2407879407861143e-15	0.0	-1.0644660009124531e-16	-2.5097177914345222e-17	0.0	0.0	5.714856356694351e-16	0.0	-1.0903620585729845e-17
BIOMASS_TREHALOSE_1G	0.0	0.0	0.0	0.0	1.8611819111791716e-17	0.0	-1.5966990013686797e-18	-3.764576687151783e-19	0.0	0.0	8.572284535041526e-18	0.0	-1.6355430878594767e-19
BIOMASS_GLYCOGEN_1G	0.0	0.0	0.0	0.0	1.2407879407861116e-16	0.0	-1.0644660009124532e-17	-2.509717791434522e-18	0.0	0.0	5.714856356694351e-17	0.0	-1.0903620585729847e-18
BIOMASS_GLUCAN_1G	0.0	0.0	0.0	0.0	3.139193490188869e-16	0.0	-4.760081218078601e-18	-4.760081218078601e-18	0.0	0.0	1.4458586582436707e-16	0.0	-2.7586160081896508e-18
BIOMASS_MANNAN_1G	0.0	0.0	0.0	0.0	8.685515585502801e-17	0.0	-7.451262006387172e-18	-1.7568024540041658e-18	0.0	0.0	4.000399449686046e-17	0.0	-7.632534410010891e-19
BIOMASS_CHITIN_1G	0.0	0.0	0.0	0.0	1.2407879407861143e-17	0.0	-1.0644660009124533e-18	-2.509717791434522e-19	0.0	0.0	5.714856356694351e-18	0.0	-1.0903620585729845e-19
BIOMASS_PROTEIN_iMM904_1G	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BIOMASS_PROTEIN_iMM904_TRNA_1G	0.0	0.0	0.0	0.0	4.963151763144457e-16	0.0	-4.257864003649813e-17	-1.003887116573809e-17	0.0	0.0	2.2859425426777404e-16	0.0	-4.361448234291939e-18
BIOMASS_PROTEIN_M_iMM904_1G	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BIOMASS_PROTEIN_M_iMM904_TRNA_1G	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BIOMASS_RNA	0.0	0.0	0.0	0.0	7.196570056559463e-17	0.0	-6.173902805292228e-18	-1.455636319032023e-18	0.0	0.0	3.314616686882724e-17	0.0	-6.32409993972331e-19
BIOMASS_RNA_DEGRADATION	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BIOMASS_RNAm	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BIOMASS_DNA	0.0	0.0	0.0	0.0	6.203939703930572e-18	0.0	-5.322330004562266e-19	-1.254858895717261e-19	0.0	0.0	2.8574281783471754e-18	0.0	-5.451810292864922e-20
BIOMASS_DNA_DEGRADATION	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BIOMASS_DNAm	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
