	EX_succ_e	EX_glyclt_e	DM_ptrc_c	EX_iamoh_e	EX_2mbtoh_e	EX_2phetoh_e	EX_tyrosol_e	EX_ind3eth_e	EX_ibutoh_e	DM_ERGST	DM_lycop_c	DM_farnesene	DM_13bdo__R
BIOMASS	0.0	2.2707407903426793e-17	0.0	0.0	1.3979258219676823e-16	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.1472752549054424e-15
BIOMASS_TREHALOSE_1G	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.7209128823581636e-17
BIOMASS_GLYCOGEN_1G	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-3.746534837112201e-17
BIOMASS_GLUCAN_1G	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-1.6999852962234546e-17
BIOMASS_MANNAN_1G	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.030926784338098e-17
BIOMASS_CHITIN_1G	0.0	0.0	0.0	0.0	1.3979258219676824e-18	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.1472752549054425e-17
BIOMASS_PROTEIN_iMM904_1G	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BIOMASS_PROTEIN_iMM904_TRNA_1G	0.0	9.082963161370718e-18	0.0	0.0	5.591703287870729e-17	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.58910101962177e-16
BIOMASS_PROTEIN_M_iMM904_1G	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BIOMASS_PROTEIN_M_iMM904_TRNA_1G	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BIOMASS_RNA	0.0	1.317029658398754e-18	0.0	0.0	8.107969767412557e-18	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.654196478451566e-17
BIOMASS_RNA_DEGRADATION	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BIOMASS_RNAm	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BIOMASS_DNA	0.0	1.1353703951713396e-19	0.0	0.0	6.989629109838412e-19	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.7363762745272126e-18
BIOMASS_DNA_DEGRADATION	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BIOMASS_DNAm	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ACOAC_MONOUNSAT	0.0	0.0	9.816708849317186e-16	4.3113281309056237e-32	0.0	0.0	0.0	0.0	0.0	-1.771855548836257e-33	0.0	0.0	1.2401873225962797e-16
