	EX_succ_e	EX_glyclt_e	DM_ptrc_c	EX_iamoh_e	EX_2mbtoh_e	EX_2phetoh_e	EX_tyrosol_e	EX_ind3eth_e	EX_ibutoh_e	DM_ERGST	DM_lycop_c	DM_farnesene	DM_13bdo__R
BIOMASS	0.0	0.0	0.0	0.0	0.0	-1.3853288553065584e-16	0.0	0.0	1.3510959562154571e-15	0.0	0.029700374133986865	0.0	0.0
BIOMASS_TREHALOSE_1G	0.0	0.0	0.0	0.0	0.0	-2.077993282959838e-18	0.0	0.0	2.026643934323186e-17	0.0	0.000445505612009803	0.0	0.0
BIOMASS_GLYCOGEN_1G	0.0	0.0	0.0	0.0	0.0	-1.3853288553065584e-17	0.0	0.0	1.3510959562154572e-16	0.0	0.002970037413398687	0.0	0.0
BIOMASS_GLUCAN_1G	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-4.013456234019913e-17	0.0	0.007514194655898677	0.0	0.0
BIOMASS_MANNAN_1G	0.0	0.0	0.0	0.0	0.0	-9.69730198714591e-18	0.0	0.0	9.4576716935082e-17	0.0	0.002079026189379081	0.0	0.0
BIOMASS_CHITIN_1G	0.0	0.0	0.0	0.0	0.0	-1.3853288553065584e-18	0.0	0.0	1.3510959562154572e-17	0.0	0.00029700374133986867	0.0	0.0
BIOMASS_PROTEIN_iMM904_1G	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BIOMASS_PROTEIN_iMM904_TRNA_1G	0.0	0.0	0.0	0.0	0.0	-5.5413154212262336e-17	0.0	0.0	5.404383824861829e-16	0.0	0.011880149653594747	0.0	0.0
BIOMASS_PROTEIN_M_iMM904_1G	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BIOMASS_PROTEIN_M_iMM904_TRNA_1G	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BIOMASS_RNA	0.0	0.0	7.7731332226826e-17	0.0	0.0	-8.03490736077804e-18	0.0	0.0	7.836356546049651e-17	0.0	0.0017226216997712383	0.0	0.0
BIOMASS_RNA_DEGRADATION	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BIOMASS_RNAm	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BIOMASS_DNA	0.0	0.0	3.287382501516403e-17	0.0	0.0	-6.926644276532792e-19	0.0	0.0	6.755479781077286e-18	0.0	0.00014850187066993434	0.0	0.0
BIOMASS_DNA_DEGRADATION	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BIOMASS_DNAm	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ACOAC_MONOUNSAT	0.0	0.0	0.0	0.0	0.0	-1.497519689919235e-17	0.0	0.0	1.4605144400570296e-16	0.0	0.003210565844582157	-2.366582715663036e-30	-4.1632233964013e-15
ACOAC_POLYUNSAT	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ACOAC_SAT	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ACOA_PMTCOA	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ACOAD_MONOUNSAT	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ACOAD_POLYUNSAT	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ACOAD_SAT	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ACOAH_MONOUNSAT	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ACOAH_POLYUNSAT	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ACOAH_SAT	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
FAC_MONOUNSAT	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
FAC_POLYUNSAT	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
FAC_SAT	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PA_SC_MONOUNSAT_1G	0.0	0.0	0.0	0.0	0.0	-1.2207394957122514e-19	0.0	0.0	1.1905737687708373e-18	0.0	2.6171706164862324e-05	0.0	0.0
PA_SC_POLYUNSAT_1G	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PA_SC_SAT_1G	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PA_SC_C16_1G	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PC_MONOUNSAT_1G	0.0	0.0	0.0	0.0	0.0	-2.9334626579230908e-18	0.0	0.0	2.8609737822517814e-17	0.0	0.0006289115982436929	0.0	0.0
PC_POLYUNSAT_1G	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PC_SAT_1G	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PE_MONOUNSAT_1G	0.0	0.0	3.634068730122992e-15	0.0	0.0	-2.6568058581508405e-18	0.0	0.0	2.5911534561970832e-17	0.0	0.0005695985302420231	0.0	0.0
PE_POLYUNSAT_1G	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PE_SAT_1G	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PG_MONOUNSAT_1G	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.690176640479658e-18	-1.183291357831544e-30	-2.08161169820065e-15
PG_POLYUNSAT_1G	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PG_SAT_1G	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PS_MONOUNSAT_1G	0.0	0.0	0.0	0.0	0.0	-3.1556465952313407e-19	0.0	0.0	3.07766732623111e-18	0.0	6.765461078356917e-05	0.0	0.0
PS_POLYUNSAT_1G	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PS_SAT_1G	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PTD1INO_MONOUNSAT_1G	0.0	0.0	0.0	0.0	0.0	-1.250067868947189e-18	0.0	0.0	1.2191774077756231e-17	0.0	0.0002680048369626377	0.0	0.0
PTD1INO_POLYUNSAT_1G	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PTD1INO_SAT_1G	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CLPN_MONOUNSAT_1G	0.0	0.0	0.0	0.0	0.0	-1.0481172774034778e-19	0.0	0.0	1.0222172228023246e-18	0.0	2.2470819947145594e-05	0.0	0.0
