	EX_succ_e	EX_glyclt_e	DM_ptrc_c	EX_iamoh_e	EX_2mbtoh_e	EX_2phetoh_e	EX_tyrosol_e	EX_ind3eth_e	EX_ibutoh_e	DM_ERGST	DM_lycop_c	DM_farnesene	DM_13bdo__R
BIOMASS	0.0	-7.182985121742426e-16	0.0	0.0	0.0	0.0	0.0	0.0	-1.0684539092421643e-16	0.0	-2.0817373675091482e-16	0.0	0.0
BIOMASS_TREHALOSE_1G	0.0	-1.0774477682613638e-17	0.0	0.0	0.0	0.0	0.0	0.0	-1.6026808638632464e-18	0.0	-3.1226060512637223e-18	0.0	0.0
BIOMASS_GLYCOGEN_1G	0.0	-7.182985121742442e-17	0.0	0.0	0.0	0.0	0.0	0.0	-1.0684539092421643e-17	0.0	-2.0817373675091485e-17	0.0	0.0
BIOMASS_GLUCAN_1G	0.0	1.1369531040121315e-15	0.0	0.0	0.0	0.0	0.0	0.0	-1.518957070479678e-17	0.0	-5.266795539798146e-17	0.0	0.0
BIOMASS_MANNAN_1G	0.0	-5.028089585219699e-17	0.0	0.0	0.0	0.0	0.0	0.0	-7.479177364695151e-18	0.0	-1.457216157256404e-17	0.0	0.0
BIOMASS_CHITIN_1G	0.0	-7.182985121742427e-18	0.0	0.0	0.0	0.0	0.0	0.0	-1.0684539092421642e-18	0.0	-2.081737367509148e-18	0.0	0.0
BIOMASS_PROTEIN_iMM904_1G	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BIOMASS_PROTEIN_iMM904_TRNA_1G	0.0	-2.8731940486969705e-16	0.0	0.0	0.0	0.0	0.0	0.0	-4.273815636968657e-17	0.0	-8.326949470036594e-17	0.0	0.0
BIOMASS_PROTEIN_M_iMM904_1G	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BIOMASS_PROTEIN_M_iMM904_TRNA_1G	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BIOMASS_RNA	-5.795617746819741e-16	-4.166131370610607e-17	0.0	0.0	0.0	0.0	0.0	0.0	-6.197032673604553e-18	0.0	-1.207407673155306e-17	0.0	0.0
BIOMASS_RNA_DEGRADATION	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BIOMASS_RNAm	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BIOMASS_DNA	0.0	-3.591492560871213e-18	0.0	0.0	0.0	0.0	0.0	0.0	-5.342269546210821e-19	0.0	-1.040868683754574e-18	0.0	0.0
BIOMASS_DNA_DEGRADATION	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BIOMASS_DNAm	9.273027140635119e-16	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ACOAC_MONOUNSAT	0.0	-7.764699053948357e-17	0.0	0.0	0.0	0.0	0.0	0.0	-1.1549826315479803e-17	0.0	0.0	0.0	0.0
ACOAC_POLYUNSAT	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ACOAC_SAT	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ACOA_PMTCOA	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ACOAD_MONOUNSAT	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ACOAD_POLYUNSAT	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ACOAD_SAT	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ACOAH_MONOUNSAT	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ACOAH_POLYUNSAT	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ACOAH_SAT	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
FAC_MONOUNSAT	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
FAC_POLYUNSAT	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
FAC_SAT	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PA_SC_MONOUNSAT_1G	0.0	-6.3295827569289085e-19	0.0	0.0	0.0	0.0	0.0	0.0	-9.415121047712781e-20	0.0	-1.8344084976531541e-19	0.0	0.0
PA_SC_POLYUNSAT_1G	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PA_SC_SAT_1G	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
