	EX_succ_e	EX_glyclt_e	DM_ptrc_c	EX_iamoh_e	EX_2mbtoh_e	EX_2phetoh_e	EX_tyrosol_e	EX_ind3eth_e	EX_ibutoh_e	DM_ERGST	DM_lycop_c	DM_farnesene	DM_13bdo__R
iAscru_DSM_1968	15.14	24.63	10.04	7.31	7.3	5.68	5.96	4.58	9.1	0.99	0.0	2.28	10.68
iAspni_CBS_513_88	14.93	20.0	10.0	7.58	7.6	5.68	5.96	0.0	10.0	1.05	0.95	2.47	10.67
iBabin_NRRL_Y12698	15.08	20.0	10.08	6.67	7.6	5.45	5.71	4.58	10.0	0.95	0.0	2.14	10.03
iBlaad_LR3	14.96	20.0	10.0	0.0	0.0	0.0	0.0	0.0	8.0	1.01	0.0	2.32	10.67
iCybja_NRRL_Y1542	15.14	20.0	10.08	6.67	7.6	5.45	5.71	4.58	10.0	1.03	0.0	2.37	10.03
iDebha_CBS_767	15.08	20.0	10.08	7.06	7.6	5.45	5.71	0.0	10.0	1.03	0.0	2.36	10.02
iDekbr_AWRI1499	15.08	24.63	10.04	7.31	7.3	5.68	5.96	4.58	9.1	1.03	0.0	2.37	10.68
iHanva_NRRL_Y1626	13.07	0.0	0.0	5.0	6.67	5.49	5.75	4.07	6.67	0.95	0.0	2.22	10.03
iHypje_QM6a	14.89	24.63	10.07	7.33	7.6	5.68	5.96	0.0	10.0	1.05	0.0	2.47	10.67
iKlula_NRRL_Y1140	15.16	21.28	10.16	7.53	7.7	5.69	5.92	4.43	10.0	0.96	0.0	2.22	10.91
iKomph_GS115	15.14	20.0	10.08	7.06	7.6	5.45	5.71	4.58	10.0	1.03	0.0	2.37	10.03
iKurca_CBS_1993	15.12	20.0	10.02	6.67	7.6	5.45	5.71	4.58	10.0	0.95	0.0	2.14	10.03
iLacth_CBS_6340	14.55	17.14	9.85	6.32	7.44	5.45	5.71	4.33	10.0	0.95	0.0	2.22	9.89
iLipst_NRRL_Y11557	14.73	20.0	10.0	6.67	7.35	5.68	5.96	0.0	8.57	1.02	0.0	2.47	10.0
iMetbi_NRRL_YB4993	15.12	20.0	10.08	6.67	7.6	5.45	5.71	4.58	10.0	0.95	0.0	2.14	10.03
iMeygu_ATCC_6260	15.08	20.0	10.08	6.67	7.6	5.45	5.71	4.58	10.0	0.95	0.0	2.14	10.03
iNadfu_DSM_6958	14.55	20.0	9.78	5.0	6.67	5.56	5.83	4.33	6.67	0.95	0.0	2.21	10.62
iNeucr_OR74A	14.89	24.63	10.07	7.33	7.6	5.68	5.96	0.0	10.0	1.05	0.95	2.47	10.67
iOgaar_NRRL_YB2248	15.14	24.63	10.04	7.31	7.3	5.68	5.96	4.58	9.1	1.03	0.0	2.37	10.68
iOgapa_DL_1	14.54	24.63	10.04	7.31	7.35	5.68	5.96	4.58	9.33	1.03	0.0	2.37	10.68
iPacta_NRRL_Y2460	15.12	24.63	10.08	7.37	7.6	5.68	5.96	4.58	10.0	1.03	0.0	2.37	10.68
iPicku_SD108	14.54	24.63	10.04	7.31	7.35	5.68	5.96	4.58	9.33	1.02	0.0	2.37	10.68
iPicme_NRRL_Y2026	14.54	24.63	10.04	7.31	7.35	5.68	5.96	4.58	9.33	1.02	0.0	2.37	10.68
iPicst_CBS_6054	15.14	24.63	10.08	7.36	7.6	5.68	5.96	4.58	10.0	0.99	0.0	2.28	10.68
iRhogr_WP1	14.93	17.14	10.0	6.32	7.6	5.45	5.71	0.0	10.0	1.05	0.95	2.47	10.02
iSacce_S288c	14.55	19.52	9.85	6.97	7.44	5.45	5.71	4.33	10.0	0.96	0.0	2.22	9.89
iSaico_NRRL_Y17804	14.93	17.14	10.0	6.32	7.6	5.45	5.71	0.0	10.0	1.04	0.95	2.48	10.02
iSchpo_972h	10.0	9.23	9.82	0.0	0.0	0.0	0.0	0.0	6.67	1.01	0.0	2.4	9.96
iSpapa_NRRL_Y27907	15.14	24.63	10.08	7.36	7.6	5.68	5.96	0.0	10.0	0.99	0.0	2.28	10.67
iVanpo_ATCC_22028	14.41	13.33	9.8	5.71	5.25	4.96	5.71	4.29	10.0	0.65	0.0	1.67	8.0
iWican_NRRL_Y336_8	15.14	20.0	10.08	6.67	7.6	5.45	5.71	4.58	10.0	1.03	0.0	2.37	10.03
iYarli_CLIB122	14.44	20.0	10.07	0.0	0.0	0.0	0.0	0.0	10.0	0.96	0.0	2.16	10.0
iZygro_CBS_732	14.55	19.52	9.85	6.67	7.44	5.45	5.71	4.33	10.0	0.92	0.0	2.05	9.89
iBudding	15.87	25.89	10.37	7.75	7.81	5.83	6.0	4.75	10.0	1.07	0.0	2.56	10.91
iPezizo	14.93	24.63	10.07	7.58	7.6	5.68	5.96	0.0	10.0	1.05	0.95	2.47	10.67
iPuccinio	14.93	17.14	10.0	6.32	7.6	5.45	5.71	0.0	10.0	1.05	0.95	2.47	10.02
iTaphrino	15.25	17.14	10.0	6.32	7.68	5.45	5.71	0.0	10.0	1.06	0.98	2.54	10.11
iEukaryota	15.87	25.89	10.37	7.75	7.81	5.83	6.0	4.75	10.0	1.07	0.99	2.56	10.91
